ringer,tr,ring,,bird,birdid,recap,day,month,year,season,location,resight,logger,type,harness,span,age,sex,fat,pec,wing,tail,mass1,mass2,hr,min,moult,bodymoult,headmoult,billlength,narestotip,billheight,billwidth,medcovs,greatercovs,maxtar,mintar,mouth,featherwear,capmethod
EMB,N,AP88434,,LWmO,33,1,16,10,2012,2,6,Y,none,,,,2,1,0,1,78,,13.9,,8,0,O,0,0,11.3,8.6,3.9,4.2,,,24.7,22,,H,T
EMB,N,AP88435,,LPmO,34,1,16,10,2012,2,6,Y,none,,,,1,1,0,2,77,,15.4,,9,0,O,1,0,11,8,3.6,3.8,,,24.4,21.3,,L,T
EMB,N,AP88436,,YLmB,35,1,16,10,2012,2,6,Y,none,,,,1,1,0,1,81,,15.2,,9,0,O,1,0,11.2,8.1,3.4,3.9,,,25.6,23,,0,T
EMB,N,AP88437,,BPmY,36,1,16,10,2012,2,6,Y,none,,,,2,1,0,1,79,,14.5,,9,15,O,0,0,11.6,8,3.6,4,,,25.2,22.5,,H,T
EMB,N,AP88438,,OWmY,37,1,16,10,2012,2,6,Y,none,,,,1,2,0,2,79,,15.8,,9,45,O,0,0,11.1,8,3.7,3.9,,,25.2,22.4,,L,T
EMB,N,AP88439,,BLmL,38,1,17,10,2012,2,6,Y,none,,,,,,0,2,79,,14,,7,30,O,0,0,10.8,7.5,3.4,4,,,25.2,22.5,,H,T
EMB,N,AP88440,,POmW,39,1,17,10,2012,2,6,Y,none,,,,1,1,0,2,79,,14.6,,7,45,O,0,0,11.2,8.1,3.7,3.9,,,25.6,22.8,,0,T
EMB,N,AP88441,,WWmL,40,1,17,10,2012,2,6,Y,none,,,,2,2,0,1,74,,14,,8,15,O,0,0,10.5,8.4,3.8,4,,,24.8,22.1,,M,T
EMB,N,AP88442,,WLmG,41,1,20,10,2012,2,6,Y,none,,,,2,1,0,1,79,,14,,9,0,O,1,0,10.6,7.9,3.5,3.9,,,24.9,22.2,,H,T
EMB,N,AP88443,,OLmO,42,1,22,10,2012,2,4,Y,none,,,,2,1,0,1,81,,15.1,,8,30,O,2,1,11.8,9.1,3.8,4.5,,,25.3,22.5,,H,T
