Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
SAF,N,AM82139,WHINC,5,M,7,2,79,26.4,09,15,01,04,2007,ACESB,MCS,0,M,0,0,1,
SAF,N,AM82176,WHINC,4,F,1,2,77,14.5,08,00,05,04,2007,ACESA,MCS,0,M,0,0,1,
SAF,N,AM82184,WHINC,5,F,0,1,77,16.7,07,00,07,04,2007,ACESA,MCS,0,O,0,1,1,
SAF,N,AM82185,WHINC,4,F,4,2,77,18.6,07,15,07,04,2007,ACESA,MCS,0,M,0,2,1,
SAF,N,AM82186,WHINC,6,M,5,3,78,21.4,07,30,07,04,2007,ACESA,MCS,0,M,2,0,1,
SAF,N,AM82187,WHINC,4,F,4,2,77,18.1,07,30,07,04,2007,ACESA,MCS,0,O,1,2,1,
SAF,N,AM82188,WHINC,6,M,7,2,80,23,07,30,07,04,2007,ACESA,MCS,0,O,2,0,1,
SAF,N,AM82192,WHINC,6,M,6,3,81,17.6,10,00,07,04,2007,ACESA,MCS,0,O,0,0,1,
SAF,N,AM82193,WHINC,5,F,4,2,78,20.4,10,00,07,04,2007,ACESA,MCS,0,O,0,0,1,
SAF,N,AM82194,WHINC,4,F,3,2,74,17,10,15,07,04,2007,ACESA,MCS,0,O,0,0,1,
SAF,N,AM82195,WHINC,4,M,7,3,79,22.2,10,30,07,04,2007,ACESA,MCS,0,O,0,0,1,
SAF,N,AM95005,WHINC,6,M,6,3,81,24.1,08,30,08,04,2007,ACESA,MCS,0,O,0,0,1,
SAF,N,AM95018,WHINC,5,M,2,2,77,15.8,07,00,09,04,2007,ACESA,MCS,0,M,1,2,1,
SAF,N,AM95026,WHINC,5,M,7,3,76,24.1,08,15,09,04,2007,ACESA,MCS,0,O,0,0,1,
SAF,N,AM95029,WHINC,5,M,6,2,77,19.7,09,00,09,04,2007,ACESA,MCS,0,M,0,0,1,
SAF,N,AM95031,WHINC,6,M,7,2,81,24.5,07,00,10,04,2007,ACESA,MCS,0,M,0,0,1,
SAF,N,AM95286,WHINC,3,N,0,1,80,14.8,07,30,17,10,2007,ACESB,MCS,0,O,0,0,1,
SAF,N,AM95345,WHINC,3,F,0,2,77,13.5,09,15,21,10,2007,ACESB,MCS,0,O,0,0,1,
SAF,N,AM95352,WHINC,3,M,0,2,81,14.3,07,15,22,10,2007,ACESB,MCS,0,J,0,0,1,
SAF,N,AP20117,WHINC,5,M,1,1,77,13.8,07,00,25,01,2008,ALEGU,MCS,0,O,0,0,,
